Designator,Value,Manufacturer,MPN,Footprint,JLCPCB Part #,Assembly,Catalog source,Assembly status
R121,100k 1% 0.125W,Yageo,RC0805FR-07100KL,Eltec_Master:R_0805_2012Metric,C96346,SMT,https://www.lcsc.com/product-detail/C96346.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R122,100R 1% 0.125W,Yageo,RC0805FR-07100RL,Eltec_Master:R_0805_2012Metric,C105577,SMT,https://www.lcsc.com/product-detail/C105577.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R123,10k 1% 0.125W,Yageo,RC0805FR-0710KL,Eltec_Master:R_0805_2012Metric,C84376,SMT,https://www.lcsc.com/product-detail/C84376.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R200,100k 1%,Yageo,RC0805FR-07100KL,Eltec_Master:R_0805_2012Metric,C96346,SMT,https://www.lcsc.com/product-detail/C96346.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R201,100k 1%,Yageo,RC0805FR-07100KL,Eltec_Master:R_0805_2012Metric,C96346,SMT,https://www.lcsc.com/product-detail/C96346.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R202,100k 1%,Yageo,RC0805FR-07100KL,Eltec_Master:R_0805_2012Metric,C96346,SMT,https://www.lcsc.com/product-detail/C96346.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R203,100k 1%,Yageo,RC0805FR-07100KL,Eltec_Master:R_0805_2012Metric,C96346,SMT,https://www.lcsc.com/product-detail/C96346.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R204,100k 1%,Yageo,RC0805FR-07100KL,Eltec_Master:R_0805_2012Metric,C96346,SMT,https://www.lcsc.com/product-detail/C96346.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R205,100k 1%,Yageo,RC0805FR-07100KL,Eltec_Master:R_0805_2012Metric,C96346,SMT,https://www.lcsc.com/product-detail/C96346.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R210,10k 1%,Yageo,RC0805FR-0710KL,Eltec_Master:R_0805_2012Metric,C84376,SMT,https://www.lcsc.com/product-detail/C84376.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R211,10k 1%,Yageo,RC0805FR-0710KL,Eltec_Master:R_0805_2012Metric,C84376,SMT,https://www.lcsc.com/product-detail/C84376.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R212,10k 1%,Yageo,RC0805FR-0710KL,Eltec_Master:R_0805_2012Metric,C84376,SMT,https://www.lcsc.com/product-detail/C84376.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R213,10k 1%,Yageo,RC0805FR-0710KL,Eltec_Master:R_0805_2012Metric,C84376,SMT,https://www.lcsc.com/product-detail/C84376.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R214,10k 1%,Yageo,RC0805FR-0710KL,Eltec_Master:R_0805_2012Metric,C84376,SMT,https://www.lcsc.com/product-detail/C84376.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R215,10k 1%,Yageo,RC0805FR-0710KL,Eltec_Master:R_0805_2012Metric,C84376,SMT,https://www.lcsc.com/product-detail/C84376.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R220,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R221,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R222,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R223,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R224,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R225,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R230,220R 1%,Yageo,RC0805FR-07220RL,Eltec_Master:R_0805_2012Metric,C114519,SMT,https://www.lcsc.com/product-detail/C114519.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R231,220R 1%,Yageo,RC0805FR-07220RL,Eltec_Master:R_0805_2012Metric,C114519,SMT,https://www.lcsc.com/product-detail/C114519.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R232,220R 1%,Yageo,RC0805FR-07220RL,Eltec_Master:R_0805_2012Metric,C114519,SMT,https://www.lcsc.com/product-detail/C114519.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R233,220R 1%,Yageo,RC0805FR-07220RL,Eltec_Master:R_0805_2012Metric,C114519,SMT,https://www.lcsc.com/product-detail/C114519.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R234,220R 1%,Yageo,RC0805FR-07220RL,Eltec_Master:R_0805_2012Metric,C114519,SMT,https://www.lcsc.com/product-detail/C114519.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R235,220R 1%,Yageo,RC0805FR-07220RL,Eltec_Master:R_0805_2012Metric,C114519,SMT,https://www.lcsc.com/product-detail/C114519.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R240,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R241,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R242,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R243,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R244,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R245,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R250,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R251,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R252,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R253,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R254,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R255,499R 0.1%,Yageo,RT0805BRD07499RL,Eltec_Master:R_0805_2012Metric,C865521,SMT,https://www.lcsc.com/product-detail/C865521.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R260,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R261,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R262,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R263,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R264,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
R265,33k 0.1%,Yageo,RT0805BRD0733KL,Eltec_Master:R_0805_2012Metric,C728650,SMT,https://www.lcsc.com/product-detail/C728650.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
RV100,1k 25-turn 0.5W,Bourns,3296W-1-102LF,Eltec_Master:Potentiometer_Bourns_3296W_Vertical,C57089,THT,https://jlcpcb.com/partdetail/Bourns-3296W_1102LF/C57089,JLC Extended catalog identity verified; through-hole assembly process and allocation unconfirmed
U10,LT3041ADE#TRPBF,Analog Devices,LT3041ADE#TRPBF,Eltec_Master:DFN-14-1EP_3x4mm_P0.5mm_EP1.7x3.3mm,C7452883,SMT,https://www.lcsc.com/product-detail/C7452883.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U11,AP2112K-3.3TRG1,Diodes Incorporated,AP2112K-3.3TRG1,Eltec_Master:SOT-23-5,C51118,SMT,https://www.lcsc.com/product-detail/C51118.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U12,TPS3840PL42DBVR,Texas Instruments,TPS3840PL42DBVR,Eltec_Master:SOT-23-5,,SMT,,Allocation and library rotation unverified
U13,TPS3840PL30DBVR,Texas Instruments,TPS3840PL30DBVR,Eltec_Master:SOT-23-5,,SMT,,Allocation and library rotation unverified
U14,TPS3840PL34DBVR,Texas Instruments,TPS3840PL34DBVR,Eltec_Master:SOT-23-5,C2871627,SMT,https://www.lcsc.com/product-detail/C2871627.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U15,SN74LVC1G14DBVR,Texas Instruments,SN74LVC1G14DBVR,Eltec_Master:SOT-23-5,C7835,SMT,https://www.lcsc.com/product-detail/C7835.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U16,LTV-817S-TA1-B,Lite-On,LTV-817S-TA1-B,Eltec_Master:SMDIP-4_W7.62mm,C109226,SMT,https://www.lcsc.com/product-detail/C109226.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U17,LM4050AIM3-4.1/NOPB,Texas Instruments,LM4050AIM3-4.1/NOPB,Eltec_Master:SOT-23,C2156509,SMT,https://www.lcsc.com/product-detail/C2156509.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U18,TLV3601DCKR,Texas Instruments,TLV3601DCKR,Eltec_Master:SOT-353_SC-70-5,C2974371,SMT,https://www.lcsc.com/product-detail/C2974371.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U19,SN74LVC1G132DBVR,Texas Instruments,SN74LVC1G132DBVR,Eltec_Master:SOT-23-5,C403723,SMT,https://www.lcsc.com/product-detail/C403723.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U30,ADG4613BRUZ,Analog Devices,ADG4613BRUZ,Eltec_Master:TSSOP-16_4.4x5mm_P0.65mm,,SMT,,Allocation and library rotation unverified
U31,ADG4613BRUZ,Analog Devices,ADG4613BRUZ,Eltec_Master:TSSOP-16_4.4x5mm_P0.65mm,,SMT,,Allocation and library rotation unverified
U32,ADG4613BRUZ,Analog Devices,ADG4613BRUZ,Eltec_Master:TSSOP-16_4.4x5mm_P0.65mm,,SMT,,Allocation and library rotation unverified
U33,OPA2325IDR,Texas Instruments,OPA2325IDR,Eltec_Master:SOIC-8_3.9x4.9mm_P1.27mm,C2058909,SMT,https://www.lcsc.com/product-detail/C2058909.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U34,OPA2325IDR,Texas Instruments,OPA2325IDR,Eltec_Master:SOIC-8_3.9x4.9mm_P1.27mm,C2058909,SMT,https://www.lcsc.com/product-detail/C2058909.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U35,OPA2325IDR,Texas Instruments,OPA2325IDR,Eltec_Master:SOIC-8_3.9x4.9mm_P1.27mm,C2058909,SMT,https://www.lcsc.com/product-detail/C2058909.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U50,SN74LVC2G125DCTR,Texas Instruments,SN74LVC2G125DCTR,Eltec_Master:TI_DCT0008A_SSOP8,C206035,SMT,https://www.lcsc.com/product-detail/C206035.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U51,SN74LVC2G125DCTR,Texas Instruments,SN74LVC2G125DCTR,Eltec_Master:TI_DCT0008A_SSOP8,C206035,SMT,https://www.lcsc.com/product-detail/C206035.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U52,SN74LVC2G125DCTR,Texas Instruments,SN74LVC2G125DCTR,Eltec_Master:TI_DCT0008A_SSOP8,C206035,SMT,https://www.lcsc.com/product-detail/C206035.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U100,LT1963AEQ#PBF,Analog Devices,LT1963AEQ#PBF,Eltec_Master:TO-263-5_TabPin3,C20415348,SMT,https://www.lcsc.com/product-detail/C20415348.html,LCSC identity verified; JLC assembly match and allocation unconfirmed
U101,LTV-847S,Lite-On,LTV-847S,Eltec_Master:SMDIP-16_W9.53mm,C114599,SMT,https://jlcpcb.com/partdetail/LiteOn-LTV847S/C114599,JLC catalog identity verified; assembly allocation unconfirmed
